IdBot;NomeBot;IdOrdem;Data;Stake;Odd;Tipo;PL;Selecao;IdSelecao
62;OVER 0.5 HT [1.71- 2];2.77206E+11;2022-08-14T23:46:06.874Z;2;1.77;BACK;-2;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.7721E+11;2022-08-15T01:46:36.179Z;2;1.73;BACK;1.46;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.77211E+11;2022-08-15T02:27:06.425Z;2;1.73;BACK;1.46;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.77246E+11;2022-08-15T14:54:08.009Z;2;1.72;BACK;1.44;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.7725E+11;2022-08-15T15:40:39.566Z;2;1.84;BACK;-2;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.7725E+11;2022-08-15T15:43:09.187Z;2;1.71;BACK;-2;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.77254E+11;2022-08-15T16:13:39.490Z;2;1.73;BACK;1.46;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.77258E+11;2022-08-15T16:47:11.403Z;2;1.72;BACK;1.44;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.77266E+11;2022-08-15T17:42:11.817Z;2;1.97;BACK;1.94;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.77266E+11;2022-08-15T17:42:42.026Z;2;1.92;BACK;1.84;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.7727E+11;2022-08-15T18:11:40.457Z;2;1.71;BACK;-2;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.77278E+11;2022-08-15T19:06:10.800Z;2;1.75;BACK;1.51;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.77282E+11;2022-08-15T19:44:45.456Z;2;1.74;BACK;1.48;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.77282E+11;2022-08-15T19:44:46.216Z;2;1.82;BACK;1.64;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.77286E+11;2022-08-15T20:28:45.409Z;2;1.94;BACK;-2;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.77291E+11;2022-08-15T22:33:41.434Z;2;1.81;BACK;-2;Over 0.5 Goals;5851483
