NomeBot;IDOrdem;Data;Odd;Stake;PL
OVER 0.5 HT [1.71- 2];297102773350;2023-02-21;1.78;2;-2
OVER 0.5 HT [1.71- 2];297458704727;2023-02-25;1.71;2;-2
OVER 0.5 HT [1.71- 2];297520498385;2023-02-25;1.78;2;1.56
OVER 0.5 HT [1.71- 2];297555371570;2023-02-25;1.74;2;1.48
OVER 0.5 HT [1.71- 2];297563582761;2023-02-25;1.72;2;-2
OVER 0.5 HT [1.71- 2];297660197926;2023-02-26;1.72;2;1.44
OVER 0.5 HT [1.71- 2];297721578045;2023-02-26;1.73;2;1.46
OVER 0.5 HT [1.71- 2];297746297410;2023-02-26;1.73;2;1.46
OVER 0.5 HT [1.71- 2];297770534786;2023-02-26;1.71;2;1.42
OVER 0.5 HT [1.71- 2];297789798210;2023-02-26;1.75;2;-2
OVER 0.5 HT [1.71- 2];297794980825;2023-02-26;1.72;2;1.44
OVER 0.5 HT [1.71- 2];297804330597;2023-02-26;1.83;2;1.66
OVER 0.5 HT [1.71- 2];297956550963;2023-02-28;1.76;2;-2
OVER 0.5 HT [1.71- 2];297974013299;2023-02-28;1.79;2;-2
OVER 0.5 HT [1.71- 2];298397517306;2023-03-04;1.73;2;-2
OVER 0.5 HT [1.71- 2];298402498237;2023-03-04;1.77;2;-2
OVER 0.5 HT [1.71- 2];298436799958;2023-03-04;1.74;2;-2
OVER 0.5 HT [1.71- 2];298438654342;2023-03-04;1.73;2;1.46
OVER 0.5 HT [1.71- 2];298469007183;2023-03-04;1.75;2;-2
OVER 0.5 HT [1.71- 2];298564451471;2023-03-05;1.74;2;-2
OVER 0.5 HT [1.71- 2];298632668701;2023-03-05;1.79;2;1.58
OVER 0.5 HT [1.71- 2];298980680447;2023-03-09;1.75;2;1.5
OVER 0.5 HT [1.71- 2];299047659762;2023-03-10;1.79;2;1.58
OVER 0.5 HT [1.71- 2];299225401892;2023-03-11;1.74;2;1.48
OVER 0.5 HT [1.71- 2];299278011396;2023-03-11;1.72;2;1.44
OVER 0.5 HT [1.71- 2];299354694902;2023-03-11;1.81;2;1.62
OVER 0.5 HT [1.71- 2];299440200346;2023-03-12;1.71;2;1.42
OVER 0.5 HT [1.71- 2];299458859495;2023-03-12;1.84;2;1.68
OVER 0.5 HT [1.71- 2];299460130389;2023-03-12;1.76;2;-2
OVER 0.5 HT [1.71- 2];299490328506;2023-03-12;1.74;2;1.48
OVER 0.5 HT [1.71- 2];299511245148;2023-03-12;1.76;2;1.52
OVER 0.5 HT [1.71- 2];299532981817;2023-03-12;1.71;2;1.42
OVER 0.5 HT [1.71- 2];299544125232;2023-03-13;1.79;2;-2
OVER 0.5 HT [1.71- 2];299618660873;2023-03-13;1.73;2;1.46
OVER 0.5 HT [1.71- 2];299833700576;2023-03-15;1.77;2;1.54
OVER 0.5 HT [1.71- 2];300274526508;2023-03-18;1.78;2;1.56
OVER 0.5 HT [1.71- 2];300310280491;2023-03-19;1.74;2;1.48
OVER 0.5 HT [1.71- 2];300373525878;2023-03-19;1.78;2;-2
OVER 0.5 HT [1.71- 2];300389472255;2023-03-19;1.83;2;1.66
OVER 0.5 HT [1.71- 2];300468525424;2023-03-20;1.76;2;-2
OVER 0.5 HT [1.71- 2];300516705113;2023-03-20;1.72;2;1.44
OVER 0.5 HT [1.71- 2];300713876546;2023-03-23;1.76;2;-2
OVER 0.5 HT [1.71- 2];300875733612;2023-03-24;1.72;2;1.44
OVER 0.5 HT [1.71- 2];300876601755;2023-03-24;1.72;2;-2
OVER 0.5 HT [1.71- 2];300918911015;2023-03-25;1.72;2;1.44
OVER 0.5 HT [1.71- 2];300976702443;2023-03-25;1.73;2;1.46
OVER 0.5 HT [1.71- 2];301001407484;2023-03-25;1.73;2;1.46
OVER 0.5 HT [1.71- 2];301056254748;2023-03-25;1.71;2;1.42
OVER 0.5 HT [1.71- 2];301189637335;2023-03-26;1.75;2;1.5
OVER 0.5 HT [1.71- 2];301195555262;2023-03-26;1.84;2;1.68
OVER 0.5 HT [1.71- 2];301202677125;2023-03-27;1.81;2;1.62
OVER 0.5 HT [1.71- 2];301391012625;2023-03-29;1.77;2;1.54
OVER 0.5 HT [1.71- 2];301445458591;2023-03-30;1.76;2;1.52
OVER 0.5 HT [1.71- 2];301601719063;2023-03-31;1.75;2;1.5
OVER 0.5 HT [1.71- 2];301657011928;2023-04-01;1.82;2;1.64
OVER 0.5 HT [1.71- 2];301713579277;2023-04-01;1.72;2;1.44
OVER 0.5 HT [1.71- 2];301742500723;2023-04-01;1.81;2;-2
OVER 0.5 HT [1.71- 2];301808863735;2023-04-01;1.8;2;-2
